Price,Street Address,Address Locality,Address Region,Postal Code,Beds,Bathrooms,Car slots,Lot area,Type
269000,347 Chifley Road,DARGAN,NSW,2786,0,0,0,8093,0
265000,11 Surrey Street,BULLABURRA,NSW,2784,0,0,1,2658,0
277000,11 Buena Vista Road,WOODFORD,NSW,2778,0,0,1,4903,0
260000,24-26 Booth Road,BULLABURRA,NSW,2784,0,0,1,2095,0
250000,58 Henry  Street,LAWSON,NSW,2783,0,0,1,879,0
250000,64 Explorers Road,KATOOMBA,NSW,2780,0,0,1,6530,0
262500,32 Hazel Avenue,HAZELBROOK,NSW,2779,0,0,2,692,0
249000,110 Kent Street,BULLABURRA,NSW,2784,0,0,2,21000,0
249000,268A Mt Irvine Rd,MOUNT WILSON,NSW,2786,0,0,2,64700,0
250000,7 Commonwealth Street,LEURA,NSW,2780,0,0,0,908,0
250000,45 St Georges Parade,MOUNT VICTORIA,NSW,2786,0,0,0,2574,0
230000,5-7 Clarendon Street,WENTWORTH FALLS,NSW,2782,0,0,0,2018,0
220000,3 Dorset Street,LEURA,NSW,2780,0,0,0,1277,0
230000,11 Myall Avenue,LEURA,NSW,2780,0,0,0,974,0
220000,60 Mort  Street,KATOOMBA,NSW,2780,0,0,0,812,0
225000,3 Clarendon Street,WENTWORTH FALLS,NSW,2782,0,0,1,2023,0
199000,14 Eastern Avenue,HAZELBROOK,NSW,2779,0,0,1,1040,0
208500,14 Mount Piddington Road,MOUNT VICTORIA,NSW,2786,0,0,0,735,0
208500,12 Mount Piddington Road,MOUNT VICTORIA,NSW,2786,0,0,0,735,0
199000,89 Rawson Parade,LEURA,NSW,2780,0,0,0,886,0
195000,Lot 22/70 Falcon Street,HAZELBROOK,NSW,2779,0,0,0,781,0
195000,35 Foy Avenue,MEDLOW BATH,NSW,2780,0,0,0,1011,0
165000,17 Kundibar,BLACKHEATH,NSW,2785,0,0,0,3674,0
620000,57b Chaseling Avenue,SPRINGWOOD,NSW,2777,3,1,1,410,2
